Filename,Expected,Solver Result,Correct?,Time (s)
uf50-01.cnf,SAT,SAT,Yes,0.191522
uf50-010.cnf,SAT,SAT,Yes,0.046782
uf50-02.cnf,SAT,SAT,Yes,0.307886
uf50-03.cnf,SAT,SAT,Yes,0.179417
uf50-04.cnf,SAT,SAT,Yes,0.479401
uf50-05.cnf,SAT,SAT,Yes,0.020552
uf50-06.cnf,SAT,SAT,Yes,0.077961
uf50-07.cnf,SAT,SAT,Yes,0.017192
uf50-08.cnf,SAT,SAT,Yes,0.076766
uf50-09.cnf,SAT,SAT,Yes,0.222078
uuf50-01.cnf,UNSAT,UNSAT,Yes,0.409621
uuf50-010.cnf,UNSAT,UNSAT,Yes,0.514356
uuf50-02.cnf,UNSAT,UNSAT,Yes,0.390934
uuf50-03.cnf,UNSAT,UNSAT,Yes,0.884383
uuf50-04.cnf,UNSAT,UNSAT,Yes,0.287529
uuf50-05.cnf,UNSAT,UNSAT,Yes,0.233561
uuf50-06.cnf,UNSAT,UNSAT,Yes,0.573691
uuf50-07.cnf,UNSAT,UNSAT,Yes,0.388763
uuf50-08.cnf,UNSAT,UNSAT,Yes,0.362703
uuf50-09.cnf,UNSAT,UNSAT,Yes,0.187977
